stock_code,stock_name
5053.KL,OSK HOLDINGS BHD
6661.KL,6661.KL
0053.KL,OSK VENTURES INTERNATIONAL BHD
0153.KL,OVERSEA ENTERPRISE BERHAD
6009.KL,PACIFIC & ORIENT BHD
7225.KL,P.A. RESOURCES BHD
4782.KL,4782.KL
7052.KL,PADINI HOLDINGS BHD
9954.KL,ASIA KNIGHT BERHAD
0005.KL,PALETTE MULTIMEDIA BHD
3719.KL,PANASONIC MANUFACTURING MSIA
5125.KL,PANTECH GROUP HOLDINGS BHD
5022.KL,PAOS HOLDINGS BHD
9407.KL,PARAGON UNION BHD
1724.KL,PARAMOUNT CORPORATION BHD
5657.KL,PARKSON HOLDINGS BHD
6912.KL,PASDEC HOLDINGS BHD
7042.KL,7042.KL
5041.KL,PBA HOLDINGS BHD
1295.KL,PUBLIC BANK BHD
6068.KL,PCCS GROUP BHD
6254.KL,PDZ HOLDINGS BHD
5231.KL,PELIKAN INT.CORPORATION BHD
5133.KL,PETRA ENERGY BHD
9997.KL,PENSONIC HOLDINGS BHD
7160.KL,PENTAMASTER CORPORATION BHD
0047.KL,PERISAI PETROLEUM TEKNOLOGI
7080.KL,PERMAJU INDUSTRIES BHD
5436.KL,PSAHAAN SADUR TIMAH MSIA
5146.KL,PERWAJA HOLDINGS BERHAD
5681.KL,PETRONAS DAGANGAN BHD
6033.KL,PETRONAS GAS BHD
7108.KL,7108.KL
7081.KL,PHARMANIAGA BHD
7201.KL,PROGRESSIVE IMPACT CORPORATION
7095.KL,P.I.E. INDUSTRIAL BHD
7163.KL,PJBUMI BHD
1945.KL,PJ DEVELOPMENT HOLDINGS BHD
7122.KL,YFG BERHAD
7055.KL,PLB ENGINEERING BHD
5075.KL,PLENITUDE BHD
9695.KL,PLS PLANTATIONS BERHAD
5052.KL,5052.KL
7172.KL,PMB TECHNOLOGY BHD
4871.KL,4871.KL
4081.KL,PAN MALAYSIA CORPORATION BHD
8869.KL,PRESS METAL BHD
1287.KL,PAN MALAYSIA HOLDINGS BHD
4103.KL,4103.KL
6637.KL,PNE PCB BHD
5080.KL,POH KONG HOLDINGS BHD
